iter	Passed	Remaining
0	114	114018
1	114	57263
2	115	38348
3	115	28855
4	116	23167
5	117	19383
6	117	16676
7	118	14655
8	118	13081
9	119	11824
10	120	10791
11	120	9929
12	121	9208
13	122	8635
14	123	8095
15	123	7618
16	124	7202
17	125	6831
18	125	6503
19	126	6204
20	127	5931
21	127	5682
22	128	5453
23	128	5241
24	129	5053
25	130	4872
26	130	4706
27	131	4553
28	131	4413
29	132	4278
30	132	4153
31	133	4038
32	134	3931
33	134	3827
34	135	3731
35	135	3640
36	136	3552
37	137	3470
38	137	3392
39	138	3317
40	138	3246
41	139	3181
42	140	3119
43	140	3055
44	141	2997
45	141	2941
46	142	2888
47	143	2836
48	143	2787
49	144	2739
50	144	2695
51	145	2651
52	145	2607
53	146	2565
54	147	2525
55	147	2487
56	148	2450
57	148	2415
58	149	2381
59	149	2348
60	150	2316
61	151	2285
62	151	2254
63	152	2223
64	152	2193
65	153	2165
66	153	2139
67	154	2113
68	154	2087
69	155	2061
70	155	2037
71	156	2013
72	156	1989
73	157	1967
74	157	1946
75	158	1926
76	158	1904
77	159	1885
78	160	1865
79	160	1846
80	161	1826
81	161	1808
82	161	1787
83	162	1769
84	162	1752
85	163	1735
86	163	1719
87	164	1703
88	164	1688
89	165	1672
90	166	1658
91	166	1644
92	167	1630
93	167	1616
94	168	1602
95	168	1588
96	169	1574
97	169	1561
98	170	1549
99	170	1536
100	171	1524
101	171	1512
102	172	1500
103	172	1489
104	173	1478
105	173	1466
106	174	1455
107	174	1444
108	175	1433
109	175	1422
110	176	1412
111	176	1402
112	177	1392
113	177	1382
114	178	1373
115	178	1364
116	179	1354
117	179	1345
118	180	1336
119	181	1327
120	181	1318
121	181	1309
122	182	1301
123	183	1292
124	183	1284
125	184	1276
126	184	1268
127	184	1260
128	185	1252
129	186	1245
130	186	1237
131	187	1231
132	187	1223
133	188	1216
134	188	1210
135	189	1204
136	190	1198
137	190	1190
138	191	1184
139	191	1177
140	192	1171
141	192	1164
142	193	1157
143	193	1151
144	194	1145
145	194	1138
146	195	1133
147	195	1127
148	196	1121
149	196	1115
150	197	1109
151	197	1104
152	198	1098
153	198	1092
154	199	1087
155	200	1082
156	200	1076
157	201	1071
158	201	1066
159	202	1061
160	202	1055
161	203	1050
162	203	1045
163	204	1040
164	204	1035
165	205	1030
166	205	1025
167	206	1021
168	206	1016
169	207	1011
170	207	1007
171	208	1002
172	208	998
173	209	994
174	209	989
175	210	985
176	211	981
177	211	977
178	212	973
179	212	968
180	213	965
181	213	960
182	214	956
183	214	952
184	215	948
185	215	944
186	216	940
187	216	936
188	217	932
189	217	929
190	218	925
191	219	921
192	219	917
193	220	914
194	220	910
195	221	907
196	221	903
197	222	900
198	222	896
199	223	893
200	223	890
201	224	886
202	225	883
203	225	880
204	226	876
205	226	873
206	227	869
207	227	866
208	228	862
209	228	859
210	229	856
211	229	853
212	230	850
213	230	847
214	231	843
215	231	841
216	232	838
217	232	835
218	233	832
219	233	829
220	234	826
221	234	823
222	235	820
223	235	817
224	236	814
225	236	811
226	237	808
227	238	805
228	238	803
229	239	800
230	239	797
231	240	794
232	240	792
233	241	789
234	241	786
235	242	784
236	242	781
237	243	779
238	243	776
239	244	773
240	244	771
241	245	768
242	245	765
243	246	763
244	246	760
245	247	758
246	247	755
247	248	753
248	248	750
249	249	748
250	249	745
251	250	743
252	251	741
253	251	738
254	252	736
255	252	733
256	253	731
257	253	729
258	254	727
259	254	724
260	255	722
261	255	720
262	256	718
263	256	716
264	257	713
265	257	711
266	258	709
267	258	707
268	259	704
269	259	702
270	260	700
271	260	698
272	261	696
273	261	694
274	262	692
275	263	689
276	263	687
277	264	685
278	264	683
279	265	681
280	265	679
281	266	677
282	266	675
283	267	673
284	267	671
285	268	669
286	268	667
287	269	666
288	270	664
289	270	662
290	271	660
291	271	658
292	272	656
293	272	654
294	273	653
295	273	651
296	274	649
297	274	647
298	275	645
299	275	643
300	276	642
301	277	640
302	277	638
303	278	637
304	278	635
305	279	633
306	279	631
307	280	629
308	280	627
309	281	626
310	281	624
311	282	622
312	282	621
313	283	619
314	284	617
315	284	616
316	285	614
317	285	612
318	286	611
319	286	609
320	287	608
321	288	606
322	288	605
323	289	603
324	289	602
325	290	600
326	291	599
327	291	597
328	292	596
329	292	594
330	293	593
331	293	591
332	294	589
333	295	588
334	295	587
335	296	585
336	296	584
337	297	582
338	298	581
339	298	579
340	299	578
341	299	576
342	300	575
343	300	573
344	301	572
345	302	571
346	302	569
347	303	568
348	304	567
349	304	565
350	305	564
351	305	562
352	306	561
353	306	559
354	307	558
355	307	556
356	308	555
357	308	554
358	309	552
359	310	551
360	310	549
361	311	548
362	311	547
363	312	545
364	312	544
365	313	542
366	313	541
367	314	540
368	315	538
369	315	537
370	316	536
371	317	535
372	317	533
373	318	532
374	318	531
375	319	529
376	319	528
377	320	527
378	321	526
379	322	525
380	322	524
381	323	523
382	324	522
383	324	521
384	325	519
385	326	518
386	326	517
387	327	516
388	327	515
389	328	513
390	329	512
391	329	511
